date,cash,position_shares,close,market_value,equity,daily_return,cum_return,running_peak,drawdown,symbol,test_start
2025-04-14,100000.0,0,457.48,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-04-15,100000.0,0,457.99,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-04-16,100000.0,0,444.18,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-04-17,100000.0,0,444.1,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-01-17
2025-04-21,100000.0,0,433.11,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-04-22,100000.0,0,444.48,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-04-23,100000.0,0,454.56,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-04-24,100000.0,0,467.35,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-04-25,100000.0,0,472.56,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-04-28,100000.0,0,472.41,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-04-29,100000.0,0,475.53,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-04-30,100000.0,0,475.47,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-05-01,100000.0,0,481.68,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-05-02,100000.0,0,488.83,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-05-05,100000.0,0,485.93,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-05-06,100000.0,0,481.41,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-05-07,100000.0,0,483.3,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-05-08,100000.0,0,488.29,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-05-09,100000.0,0,487.97,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-05-12,100000.0,0,507.85,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-05-13,100000.0,0,515.59,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-05-14,100000.0,0,518.68,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-05-15,100000.0,0,519.25,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-05-16,100000.0,0,521.51,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-05-19,100000.0,0,522.01,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2025-04-21
2025-05-20,48054.0,100,520.27,52027.0,100081.0,0.0008099999999999774,0.0008099999999999774,100081.0,0.0,QQQ,2025-04-21
2025-05-21,48054.0,100,513.04,51304.0,99358.0,-0.007224148439763822,-0.006419999999999981,100081.0,-0.007224148439763822,QQQ,2025-04-21
2025-05-22,48054.0,100,514.0,51400.0,99454.0,0.000966203023410328,-0.00546000000000002,100081.0,-0.0062649254104175656,QQQ,2025-04-21
2025-05-23,48054.0,100,509.24,50924.0,98978.0,-0.004786132282261102,-0.010220000000000007,100081.0,-0.011021072930925913,QQQ,2025-04-21
2025-05-27,48054.0,100,521.22,52122.0,100176.0,0.012103699812079372,0.0017599999999999838,100176.0,0.0,QQQ,2025-04-21
2025-05-28,48054.0,100,518.91,51891.0,99945.0,-0.0023059415428845487,-0.0005500000000000504,100176.0,-0.0023059415428845487,QQQ,2025-04-21
2025-05-29,48054.0,100,519.93,51992.99999999999,100047.0,0.0010205613087197474,0.00046999999999997044,100176.0,-0.0012877335888835661,QQQ,2025-04-21
2025-05-30,48054.0,100,519.11,51911.0,99965.0,-0.0008196147810528576,-0.00034999999999996145,100176.0,-0.0021062929244529682,QQQ,2025-04-21
2025-06-02,48054.0,100,523.21,52321.0,100375.0,0.00410143550242581,0.00374999999999992,100375.0,0.0,QQQ,2025-04-21
2025-06-03,48054.0,100,527.3,52729.99999999999,100784.0,0.00407471980074714,0.00784000000000007,100784.0,0.0,QQQ,2025-04-21
2025-06-04,48054.0,100,528.77,52877.0,100931.0,0.001458564851563704,0.00930999999999993,100931.0,0.0,QQQ,2025-04-21
2025-06-05,48054.0,100,524.79,52479.0,100533.0,-0.00394328798882404,0.005330000000000057,100931.0,-0.00394328798882404,QQQ,2025-04-21
2025-06-06,48054.0,100,529.92,52991.99999999999,101046.0,0.0051028020649936945,0.010459999999999914,101046.0,0.0,QQQ,2025-04-21
2025-06-09,48054.0,100,530.7,53070.00000000001,101124.0,0.0007719256576212974,0.011239999999999917,101124.0,0.0,QQQ,2025-04-21
2025-06-10,48054.0,100,534.21,53421.0,101475.0,0.0034709861160555633,0.01475000000000004,101475.0,0.0,QQQ,2025-04-21
2025-06-11,48054.0,100,532.41,53241.0,101295.0,-0.0017738359201774356,0.012950000000000017,101475.0,-0.0017738359201774356,QQQ,2025-04-21
